Nov  9 18:11:43[3464] Font(id 0) width(12) is not matched with standard width(6).
Dec  6 17:44:57[8491] Font(id 0) width(12) is not matched with standard width(18).
Dec  7 00:22:35[15176] Font(id 0) width(12) is not matched with standard width(18).
Dec  7 00:27:27[16835] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  7 00:27:32[18138] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:18:37[18278] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:19:55[19118] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:21:02[19936] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:24:27[22352] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:25:07[23018] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:49:49[20058] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 01:57:09[24358] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:00:19[26213] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:00:54[26567] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:03:22[28244] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:04:34[1150] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:06:37[1072] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:15:53[6998] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:20:06[9889] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:34:21[19340] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:44:06[25136] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:47:53[27505] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:49:15[28336] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 02:51:33[28336] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 03:23:09[16353] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 03:23:20[16353] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 03:23:20[16353] Font(id 10d1) width(17) is not matched with standard width(18).
Dec  8 03:28:07[20380] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 03:28:25[20591] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 03:28:28[20591] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 03:28:32[20591] Font(id 10d1) width(17) is not matched with standard width(18).
Dec  8 03:29:01[20591] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 03:29:41[20591] Font(id 2d1) width(46) is not matched with standard width(36).
Dec  8 03:29:45[20591] Font(id 14d1) width(17) is not matched with standard width(18).
Dec  8 03:30:36[22013] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 03:30:43[22013] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 03:31:16[20591] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 03:35:28[20591] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 03:51:38[2962] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 03:51:46[2962] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 04:04:18[10724] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:04:39[10955] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:04:42[10955] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 04:04:42[10955] Font(id 400) width(22) is not matched with standard width(18).
Dec  8 04:08:49[13475] font size 50 is too large. 30 is used.
Dec  8 04:08:49[13475] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:08:54[13530] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:17:03[18422] font size 50 is too large. 30 is used.
Dec  8 04:17:03[18422] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:17:15[18534] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:17:43[18833] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:17:51[18912] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:35:28[32223] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 04:35:36[32223] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 04:37:33[32223] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 14:04:12[2318] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 14:04:24[2318] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 14:06:08[3539] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 14:06:16[3539] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 14:14:42[3539] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 14:14:59[8790] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 14:15:02[8790] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 19:30:03[5484] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 19:32:46[2318] Font(id 0) width(22) is not matched with standard width(18).
Dec  8 19:32:46[2318] Font(id 2d1) width(46) is not matched with standard width(36).
Dec  8 19:34:53[5484] Font(id 6d1) width(46) is not matched with standard width(36).
Dec  8 19:35:19[9260] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 19:35:21[9288] Set use_combining=false forcibly to enable use_dynamic_comb.
Dec  8 19:35:43[9529] Set use_combining=false forcibly to enable use_dynamic_comb.
